timestamp,datetime,h,Beam Irradiance (W/m2),Diffuse Irradiance (W/m2),Ambient Temperature (C),Plane of Array Irradiance (W/m2),Cell Temperature (C),DC Array Output (W),Pavg,iid,dif
2010-11-28 00:00:00,2010-11-28,0,0,0,12.8,0.0,12.8,0.0,78.40662833333333,22,-78.40662833333333
2010-11-28 01:00:00,2010-11-28,1,0,0,12.5,0.0,12.5,0.0,71.45574833333333,22,-71.45574833333333
2010-11-28 02:00:00,2010-11-28,2,0,0,12.2,0.0,12.2,0.0,67.62680166666667,22,-67.62680166666667
2010-11-28 03:00:00,2010-11-28,3,0,0,11.9,0.0,11.9,0.0,66.39524,22,-66.39524
2010-11-28 04:00:00,2010-11-28,4,0,0,11.6,0.0,11.6,0.0,64.12604833333334,22,-64.12604833333334
2010-11-28 05:00:00,2010-11-28,5,0,0,11.3,0.0,11.3,0.0,74.32625084745762,22,-74.32625084745762
2010-11-28 06:00:00,2010-11-28,6,0,0,11.0,0.0,11.0,0.0,78.64405333333335,22,-78.64405333333335
2010-11-28 07:00:00,2010-11-28,7,211,16,11.3,0.0,11.3,0.0,126.774125,22,-126.774125
2010-11-28 08:00:00,2010-11-28,8,188,84,12.3,161.542,18.553,507.434,80.14989166666666,22,427.2841083333334
2010-11-28 09:00:00,2010-11-28,9,439,100,13.8,335.413,27.575,1143.817,114.601185,22,1029.215815
2010-11-28 10:00:00,2010-11-28,10,600,91,15.6,508.785,36.506,1691.404,65.83409166666667,22,1625.5699083333334
2010-11-28 11:00:00,2010-11-28,11,559,114,17.4,574.209,40.944,1862.458,62.895125,22,1799.562875
2010-11-28 12:00:00,2010-11-28,12,500,130,19.0,576.697,42.617,1849.321,72.46645166666666,22,1776.8545483333332
2010-11-28 13:00:00,2010-11-28,13,276,166,20.1,412.529,36.975,1340.819,75.14887499999999,22,1265.670125
2010-11-28 14:00:00,2010-11-28,14,326,120,20.4,391.341,36.436,1281.693,75.73192833333334,22,1205.9610716666666
2010-11-28 15:00:00,2010-11-28,15,167,85,19.8,200.683,28.034,670.661,74.90415833333333,22,595.7568416666666
2010-11-28 16:00:00,2010-11-28,16,106,20,18.6,74.928,21.672,246.737,59.091573333333336,22,187.64542666666665
2010-11-28 17:00:00,2010-11-28,17,0,0,17.3,0.0,0.0,0.0,60.12119499999999,22,-60.12119499999999
2010-11-28 18:00:00,2010-11-28,18,0,0,16.2,0.0,16.2,0.0,78.58285666666669,22,-78.58285666666669
2010-11-28 19:00:00,2010-11-28,19,0,0,15.3,0.0,15.3,0.0,76.27044500000001,22,-76.27044500000001
2010-11-28 20:00:00,2010-11-28,20,0,0,14.5,0.0,14.5,0.0,73.29054333333332,22,-73.29054333333332
2010-11-28 21:00:00,2010-11-28,21,0,0,13.9,0.0,13.9,0.0,87.47924444444443,22,-87.47924444444443
2010-11-28 22:00:00,2010-11-28,22,0,0,13.4,0.0,13.4,0.0,169.13957333333337,22,-169.13957333333337
2010-11-28 23:00:00,2010-11-28,23,0,0,13.0,0.0,13.0,0.0,127.77235333333334,22,-127.77235333333334
2010-11-29 00:00:00,2010-11-29,0,0,0,12.6,0.0,12.6,0.0,78.40662833333333,22,-78.40662833333333
2010-11-29 01:00:00,2010-11-29,1,0,0,12.2,0.0,12.2,0.0,71.45574833333333,22,-71.45574833333333
2010-11-29 02:00:00,2010-11-29,2,0,0,11.8,0.0,11.8,0.0,67.62680166666667,22,-67.62680166666667
2010-11-29 03:00:00,2010-11-29,3,0,0,11.4,0.0,11.4,0.0,66.39524,22,-66.39524
2010-11-29 04:00:00,2010-11-29,4,0,0,11.0,0.0,11.0,0.0,64.12604833333334,22,-64.12604833333334
2010-11-29 05:00:00,2010-11-29,5,0,0,10.6,0.0,10.6,0.0,74.32625084745762,22,-74.32625084745762
2010-11-29 06:00:00,2010-11-29,6,0,0,10.3,0.0,10.3,0.0,78.64405333333335,22,-78.64405333333335
2010-11-29 07:00:00,2010-11-29,7,176,19,10.5,0.0,10.5,0.0,126.774125,22,-126.774125
2010-11-29 08:00:00,2010-11-29,8,276,83,11.4,185.555,18.79,576.551,80.14989166666666,22,496.40110833333335
2010-11-29 09:00:00,2010-11-29,9,434,110,12.8,342.979,26.882,1172.298,114.601185,22,1057.696815
2010-11-29 10:00:00,2010-11-29,10,559,110,14.5,501.896,35.117,1675.804,65.83409166666667,22,1609.9699083333337
2010-11-29 11:00:00,2010-11-29,11,628,103,16.2,613.333,41.356,1989.502,62.895125,22,1926.606875
2010-11-29 12:00:00,2010-11-29,12,628,103,17.7,650.122,44.34,2076.777,72.46645166666666,22,2004.3105483333331
2010-11-29 13:00:00,2010-11-29,13,559,110,18.7,599.141,43.247,1920.398,75.14887499999999,22,1845.249125
2010-11-29 14:00:00,2010-11-29,14,434,110,19.0,467.292,38.159,1528.274,75.73192833333334,22,1452.5420716666663
2010-11-29 15:00:00,2010-11-29,15,276,83,18.5,276.218,29.843,928.416,74.90415833333333,22,853.5118416666667
2010-11-29 16:00:00,2010-11-29,16,176,19,17.4,108.793,21.861,363.806,59.091573333333336,22,304.71442666666667
2010-11-29 17:00:00,2010-11-29,17,0,0,16.1,0.0,0.0,0.0,60.12119499999999,22,-60.12119499999999
2010-11-29 18:00:00,2010-11-29,18,0,0,15.1,0.0,15.1,0.0,78.58285666666669,22,-78.58285666666669
2010-11-29 19:00:00,2010-11-29,19,0,0,14.2,0.0,14.2,0.0,76.27044500000001,22,-76.27044500000001
2010-11-29 20:00:00,2010-11-29,20,0,0,13.5,0.0,13.5,0.0,73.29054333333332,22,-73.29054333333332
2010-11-29 21:00:00,2010-11-29,21,0,0,13.0,0.0,13.0,0.0,75.18404310344827,22,-75.18404310344827
2010-11-29 22:00:00,2010-11-29,22,0,0,12.5,0.0,12.5,0.0,75.2216,22,-75.2216
2010-11-29 23:00:00,2010-11-29,23,0,0,12.1,0.0,12.1,0.0,250.46751666666665,22,-250.46751666666665
2010-11-30 00:00:00,2010-11-30,0,0,0,11.8,0.0,11.8,0.0,198.998235,22,-198.998235
2010-11-30 01:00:00,2010-11-30,1,0,0,11.5,0.0,11.5,0.0,99.452075,22,-99.452075
2010-11-30 02:00:00,2010-11-30,2,0,0,11.2,0.0,11.2,0.0,80.82149833333337,22,-80.82149833333337
2010-11-30 03:00:00,2010-11-30,3,0,0,10.9,0.0,10.9,0.0,71.25000166666668,22,-71.25000166666668
2010-11-30 04:00:00,2010-11-30,4,0,0,10.7,0.0,10.7,0.0,95.95855166666664,22,-95.95855166666664
2010-11-30 05:00:00,2010-11-30,5,0,0,10.4,0.0,10.4,0.0,103.07449473684213,22,-103.07449473684213
2010-11-30 06:00:00,2010-11-30,6,0,0,10.1,0.0,10.1,0.0,97.88479833333336,22,-97.88479833333336
2010-11-30 07:00:00,2010-11-30,7,199,16,10.4,0.0,10.4,0.0,126.81550333333334,22,-126.81550333333334
2010-11-30 08:00:00,2010-11-30,8,231,80,11.3,168.905,18.026,524.568,73.69046499999999,22,450.877535
2010-11-30 09:00:00,2010-11-30,9,391,109,12.7,320.148,25.841,1095.903,100.46254166666668,22,995.4404583333334
2010-11-30 10:00:00,2010-11-30,10,448,129,14.3,445.404,32.588,1496.808,101.04685833333332,22,1395.7611416666666
2010-11-30 11:00:00,2010-11-30,11,586,107,16.1,584.63,40.077,1905.0,103.14957833333334,22,1801.8504216666668
2010-11-30 12:00:00,2010-11-30,12,459,142,17.5,548.576,39.963,1776.665,77.06171166666665,22,1699.6032883333332
2010-11-30 13:00:00,2010-11-30,13,550,104,18.5,584.041,42.431,1878.444,75.067495,22,1803.376505
2010-11-30 14:00:00,2010-11-30,14,308,124,18.8,381.932,34.449,1259.937,104.71360166666666,22,1155.2233983333333
2010-11-30 15:00:00,2010-11-30,15,141,86,18.3,185.344,25.903,622.45,99.05835483333333,22,523.3916451666668
2010-11-30 16:00:00,2010-11-30,16,199,16,17.2,115.333,21.93,386.625,102.93665666666668,22,283.6883433333333
2010-11-30 17:00:00,2010-11-30,17,0,0,15.9,0.0,0.0,0.0,84.87727,22,-84.87727
2010-11-30 18:00:00,2010-11-30,18,0,0,14.9,0.0,14.9,0.0,74.58537500000001,22,-74.58537500000001
2010-11-30 19:00:00,2010-11-30,19,0,0,14.0,0.0,14.0,0.0,128.81340333333335,22,-128.81340333333335
2010-11-30 20:00:00,2010-11-30,20,0,0,13.4,0.0,13.4,0.0,114.19470333333334,22,-114.19470333333334
2010-11-30 21:00:00,2010-11-30,21,0,0,12.8,0.0,12.8,0.0,101.150435,22,-101.150435
2010-11-30 22:00:00,2010-11-30,22,0,0,12.3,0.0,12.3,0.0,107.57721833333332,22,-107.57721833333332
2010-11-30 23:00:00,2010-11-30,23,0,0,11.9,0.0,11.9,0.0,194.5885,22,-194.5885
2010-12-01 00:00:00,2010-12-01,0,0,0,12.1,0.0,12.1,0.0,202.68105000000003,22,-202.68105000000003
2010-12-01 01:00:00,2010-12-01,1,0,0,12.3,0.0,12.3,0.0,191.61570000000003,22,-191.61570000000003
2010-12-01 02:00:00,2010-12-01,2,0,0,12.5,0.0,12.5,0.0,190.94600000000003,22,-190.94600000000003
2010-12-01 03:00:00,2010-12-01,3,0,0,12.7,0.0,12.7,0.0,186.68660000000003,22,-186.68660000000003
2010-12-01 04:00:00,2010-12-01,4,0,0,12.9,0.0,12.9,0.0,164.1974,22,-164.1974
2010-12-01 05:00:00,2010-12-01,5,0,0,13.1,0.0,13.1,0.0,112.25452105263156,22,-112.25452105263156
2010-12-01 06:00:00,2010-12-01,6,0,0,13.3,0.0,13.3,0.0,112.20877666666668,22,-112.20877666666668
2010-12-01 07:00:00,2010-12-01,7,71,16,13.5,0.0,13.5,0.0,110.02100666666666,22,-110.02100666666666
2010-12-01 08:00:00,2010-12-01,8,149,78,14.2,144.027,16.414,450.785,87.24647166666668,22,363.5385283333334
