2;1;559
2;0;697
3;1;680
3;0;475
4;0;554
4;3;243
5;0;553
5;1;584
6;0;301
6;1;210
7;4;186
7;0;398
8;7;116
8;3;233
9;5;81
9;6;478
10;8;540
10;5;897
11;5;385
11;6;383
12;1;287
12;7;315
13;1;306
13;12;134
14;13;189
14;12;319
15;10;475
15;6;433
16;11;602
16;5;352
17;0;91
17;7;353
18;16;845
18;15;134
19;17;71
19;1;222
20;10;148
20;13;93
21;8;704
21;5;278
22;0;55
22;1;191
23;13;282
23;0;512
24;0;243
24;18;329
25;20;817
25;9;91
26;21;344
26;3;184
27;0;241
27;22;201
28;5;167
28;3;564
29;27;815
29;8;101
30;25;335
30;15;514
31;26;195
31;7;275
32;8;212
32;3;22
33;11;510
33;12;304
34;0;80
34;20;202
35;13;213
35;28;866
36;15;592
36;24;416
37;10;121
37;22;314
38;14;94
38;1;413
39;20;35
39;12;94
40;31;57
40;26;232
41;9;223
41;0;496
42;26;208
42;17;373
43;20;224
43;29;525
44;1;296
44;35;159
45;7;373
45;20;624
46;16;79
46;41;290
47;19;74
47;36;432
48;32;705
48;25;229
49;20;114
49;13;140
0;49;186
0;33;408
1;9;664
1;37;241
