0;1;180
0;2;375
1;2;334
3;0;495
3;1;315
4;1;559
4;0;694
5;3;371
5;4;477
6;3;842
6;0;1090
7;4;405
7;0;558
8;1;742
8;6;573
9;3;247
9;7;392
10;3;784
10;7;577
11;1;942
11;8;520
12;4;389
12;0;831
13;8;564
13;12;389
14;0;818
14;11;895
15;10;427
15;0;991
16;1;1046
16;0;1188
17;3;234
17;8;707
18;8;830
18;10;869
19;0;960
19;8;667
20;0;752
20;8;19
21;12;196
21;1;585
22;7;722
22;3;596
23;11;734
23;4;342
24;18;494
24;4;140
25;8;355
25;6;305
26;8;368
26;11;151
27;1;545
27;18;508
28;20;693
28;17;605
29;0;847
29;27;536
30;4;459
30;0;1154
31;3;480
31;0;967
32;14;777
32;20;424
33;8;500
33;11;785
34;9;664
34;11;382
35;18;484
35;26;457
36;12;497
36;33;566
37;6;359
37;8;853
38;2;898
38;1;953
39;28;345
39;26;543
40;36;581
40;33;101
41;1;1030
41;20;811
42;1;1167
42;0;1314
43;0;699
43;3;204
44;15;865
44;8;641
45;0;192
45;10;938
46;28;296
46;10;328
47;5;421
47;34;736
48;12;255
48;26;116
49;4;465
49;30;580
50;11;448
50;3;495
51;11;706
51;27;440
52;48;401
52;30;694
53;11;518
53;39;354
54;1;1091
54;38;441
55;0;985
55;48;532
56;27;573
56;36;458
57;1;764
57;23;474
58;48;375
58;35;308
59;9;330
59;52;526
60;48;354
60;12;594
61;3;532
61;11;700
62;15;341
62;0;989
63;26;715
63;39;172
64;3;598
64;18;576
65;52;612
65;8;790
66;58;559
66;11;738
67;58;541
67;56;934
68;9;695
68;20;426
69;35;578
69;65;343
70;43;251
70;41;585
71;1;1033
71;52;809
72;3;725
72;0;1074
73;13;844
73;8;1074
74;11;895
74;13;900
75;3;378
75;11;546
76;8;557
76;0;563
77;7;532
77;0;404
78;5;812
78;22;813
79;20;514
79;61;915
80;48;570
80;0;569
81;1;838
81;26;638
82;11;479
82;18;818
83;29;287
83;0;559
84;56;441
84;13;556
85;29;483
85;4;144
86;67;973
86;4;584
87;5;299
87;1;546
88;3;416
88;86;142
89;41;906
89;58;771
90;38;929
90;11;880
91;50;469
91;61;679
92;48;201
92;41;173
93;12;729
93;36;237
94;17;861
94;61;508
95;57;864
95;8;357
96;0;737
96;36;197
97;27;450
97;39;613
98;4;481
98;9;254
99;20;529
99;41;388
